Term,CorrectSpelling,CommonMisspellings,Category,Definition,StandardUnit,RegionalVariants,RelatedTerms
Concrete,Concrete,"concret,concete,conrete",Material,Composite material made of cement aggregate and water,M³,Concrete (US/UK),Cement;Aggregate;Mix
Reinforcement,Reinforcement,"reinforcment,renforcement,reinforcemnt",Material,Steel bars or mesh embedded in concrete,TONNE,Rebar (US);Reinforcing (AU),Steel;Rebar;Mesh
Excavation,Excavation,"excavtion,excation,excavaion",Method,Process of removing earth or rock,M³,Earthwork (UK);Dig (Informal),Earth;Soil;Digging
Formwork,Formwork,"formwrk,form work,formwoork",Material,Temporary mold for concrete,M²,Shuttering (UK);Forms (US),Shuttering;Mold;Falsework
Scaffolding,Scaffolding,"scafolding,scaffoldig,scaffoding",Equipment,Temporary structure for worker access,M² or M,Scaffold (Short),Access;Platform;Staging
Steel,Steel,"stell,stel,steele",Material,Structural metal alloy,TONNE,Steel (Universal),Metal;Iron;Beam
Foundation,Foundation,"fondation,foundtion,fundation",Structure,Base structure supporting building,M³,Footing (US);Base,Footing;Base;Substructure
Masonry,Masonry,"masonary,massonery,masonery",Method,Building with brick or stone,M² or M³,Brickwork (UK),Brick;Block;Stone
Plastering,Plastering,"plastring,plasterng,plstering",Method,Application of plaster finish,M²,Rendering (UK);Stucco (US),Plaster;Render;Finish
Painting,Painting,"paintng,paintig,paiting",Method,Application of paint coating,M²,Coating (Formal),Paint;Coat;Finish
Plumbing,Plumbing,"plumbng,plumbing,plubming",Trade,Installation of water systems,M or NO,Pipework (UK),Pipe;Water;Drainage
Electrical,Electrical,"electrial,electricl,eletrical",Trade,Installation of electrical systems,M or NO,Wiring (Informal),Wire;Cable;Power
Waterproofing,Waterproofing,"waterproofng,water proofing,waterproffing",Method,Treatment to prevent water penetration,M²,Damp-proofing (UK),Membrane;Sealant;Protection
Insulation,Insulation,"insultion,insualtion,insulaton",Material,Material to reduce heat transfer,M² or M³,Lagging (UK/Pipes),Thermal;Acoustic;Barrier
Drainage,Drainage,"drainag,drainge,dranaige",System,System for water removal,M,Storm water (AU);Surface water (UK),Drain;Gutter;Sewer
Roofing,Roofing,"roofng,roofig,roofin",Structure,Covering for top of building,M²,Roof covering (Formal),Roof;Tile;Sheet
Flooring,Flooring,"floring,floorng,florring",Finish,Floor surface material,M²,Floor finish (Formal),Floor;Tile;Carpet
Carpentry,Carpentry,"carpentary,carpentrey,carpentri",Trade,Woodwork construction,M² or NO,Joinery (UK),Wood;Timber;Joinery
Demolition,Demolition,"demolision,demoliton,demolation",Method,Destruction of structures,M³,Breaking down (Informal),Break;Remove;Dismantle
Earthwork,Earthwork,"earth work,erthwork,earthwrk",Method,Movement and placement of soil,M³,Excavation (General),Earth;Fill;Grading
Compaction,Compaction,"compction,compacton,compaction",Method,Densification of soil or material,M² or M³,Rolling (Informal),Compact;Dense;Consolidate
Backfill,Backfill,"back fill,backfil,bakfill",Method,Refilling of excavated areas,M³,Filling (UK),Fill;Replace;Restore
Substructure,Substructure,"sub structure,substrucure,substrcture",Structure,Below-ground portion of building,M³,Foundation (General),Foundation;Base;Underground
Superstructure,Superstructure,"super structure,superstrucure,superstrcture",Structure,Above-ground portion of building,M³,Structure (General),Frame;Building;Above-ground
Column,Column,"collumn,colum,coloumn",Structure,Vertical structural support member,NO or M³,Pillar (Formal),Pillar;Post;Support
Beam,Beam,"beem,bem,beamm",Structure,Horizontal structural member,NO or M³,Lintel (UK/Small),Lintel;Girder;Member
Slab,Slab,"slabb,salb,slb",Structure,Horizontal concrete structural element,M² or M³,Deck (US),Deck;Floor;Platform
Wall,Wall,"wal,wwall,wll",Structure,Vertical enclosing element,M²,Partition (Interior),Partition;Panel;Barrier
Ceiling,Ceiling,"cieling,ceilling,celing",Finish,Overhead interior surface,M²,Soffit (UK/Underside),Soffit;Overhead;Lining
